"artist","museum","gender","ethnicity","GEO3major","year"
"Scipione Del Campo","Art Institute of Chicago","man","white","Europe","1900"
"Giovanni Jacopo Caraglio","Art Institute of Chicago","man","white","Europe","1500"
"Emil Carlsen","Art Institute of Chicago","man","white",NA,"1850"
"Agostino Carracci","Art Institute of Chicago","man","white","Europe","1560"
"Annibale Carracci","Art Institute of Chicago","man","white","Europe","1560"
"Francesco Castiglione","Art Institute of Chicago","man","white","Europe","1640"
"Vija Celmins","Art Institute of Chicago","woman","white","Europe","1940"
"Cosimo Cenni","Art Institute of Chicago","man","white","Europe",NA
"Lynn Chadwick","Art Institute of Chicago","man","white","Europe","1910"
"Victor Chalupski","Art Institute of Chicago",NA,NA,NA,NA
"Charles Abraham Chasselat","Art Institute of Chicago","man","white",NA,"1780"
"Farrukh Chela","Art Institute of Chicago",NA,"asian","Asia and the Pacific","1580"
"Eric Cheng","Art Institute of Chicago","man","asian",NA,NA
"FranA?ois Chereau","Art Institute of Chicago","man","white","Europe","1680"
"Elio Ciol","Art Institute of Chicago","man","white","Europe","1930"
"Arnaud Claass","Art Institute of Chicago","man","white","Europe","1950"
"John Heaviside Clark","Art Institute of Chicago","man","white","Europe","1770"
"John Clerk","Art Institute of Chicago","man","white","Europe","1730"
"Sue Coe","Art Institute of Chicago","woman","white","Europe","1950"
"Elizabeth Colwell","Art Institute of Chicago",NA,NA,"North America","1880"
"Vicenzo Cominazzo","Art Institute of Chicago","man","white","Europe",NA
"Bruce Conner","Art Institute of Chicago","man","white","North America","1930"
"Francis W. Cooper","Art Institute of Chicago","man","white",NA,NA
"Matthew Cooper","Art Institute of Chicago","man",NA,NA,NA
"Lovis Corinth","Art Institute of Chicago","man","white","Europe","1860"
"Jean George Cornelius","Art Institute of Chicago","man","white","Europe","1880"
"Allela Cornell","Art Institute of Chicago","woman","white","North America","1910"
"Hendrick Frans de Cort","Art Institute of Chicago","man","white","Europe","1740"
"Marie Cosindas","Art Institute of Chicago","woman","white",NA,"1920"
"Marsha Cottrell","Art Institute of Chicago","woman","white","North America","1960"
"Paul D'Amato","Art Institute of Chicago","man","white","North America","1960"
"Albrecht DA?rer","Art Institute of Chicago","man","white","Europe","1470"
"Louis-Jacques Daguerre","Art Institute of Chicago","man","white","Europe","1790"
"Nakamura DaizaburA?","Art Institute of Chicago","man","asian","Asia and the Pacific","1900"
"Salvador DalA-","Art Institute of Chicago","man",NA,"Europe","1900"
"Pietro Dandini","Art Institute of Chicago","man","white","Europe","1650"
"Adrien Dauzats","Art Institute of Chicago","man","white","Europe","1800"
"Ella Maria Deacon","Art Institute of Chicago","woman",NA,"North America","1810"
"Howard Dearstyne","Art Institute of Chicago","man","white","North America","1900"
"Jay DeFeo","Art Institute of Chicago","woman","white","North America","1930"
"Aron Dejez","Art Institute of Chicago","man","white",NA,NA
"Donna Dennis","Art Institute of Chicago","woman","white","North America","1940"
"Giuseppe Diamantini","Art Institute of Chicago","man","white","Europe","1620"
"AndrAC Dignimont","Art Institute of Chicago","man","white","Europe","1890"
"John Dixwell","Art Institute of Chicago","man","white",NA,NA
"Ozias Dodge","Art Institute of Chicago","man","white","North America","1870"
"Theo van Doesburg","Art Institute of Chicago","man","white","Europe","1880"
"Jean Gabriel Domergue","Art Institute of Chicago","man","white","Europe","1890"
"John E. Dowell","Art Institute of Chicago","man",NA,"North America","1940"
"Felix Droese","Art Institute of Chicago","man","white","Europe","1950"
"Louis-Joseph-CACsar Ducornet","Art Institute of Chicago","man","white","Europe","1810"
"A. Duplessis","Art Institute of Chicago","man",NA,NA,NA
"GACrard Edelinck","Art Institute of Chicago","man","white","Europe","1640"
"Friedrich Egermann","Art Institute of Chicago","man","white","Europe","1780"
"George Grant Elmslie","Art Institute of Chicago","man","white","Europe","1870"
"James Ensor","Art Institute of Chicago","man","white","Europe","1860"
"Barbara Ess","Art Institute of Chicago","woman","white","North America","1950"
"Filippo Falciatore","Art Institute of Chicago","man","white","Europe",NA
"William Fasig","Art Institute of Chicago","man","white","North America",NA
"Joan Fontcuberta","Art Institute of Chicago","man","white","Europe","1960"
"Vivian Forbes","Art Institute of Chicago","man","white","Europe","1890"
"Richard Ford","Art Institute of Chicago","man","white","North America",NA
"John F. Francis","Art Institute of Chicago","man",NA,"North America","1810"
"Frans Francken","Art Institute of Chicago","man","white","Europe","1580"
"John Robinson Frazier","Art Institute of Chicago","man","white","North America","1890"
"Dan Friedman","Art Institute of Chicago","man",NA,"North America","1940"
"Frederick Carl Frieseke","Art Institute of Chicago","man","white","North America","1870"
"Dayvid Froyla","Art Institute of Chicago","man",NA,NA,NA
"Okatakar Fuchs","Art Institute of Chicago",NA,"white","Europe",NA
"JesAos Guerrero GalvA!n","Art Institute of Chicago","man","hispanic","Latin America and the Caribbean","1910"
"Jean RenAC Gauguin","Art Institute of Chicago","man","white","Europe","1880"
"Winfred Gaul","Art Institute of Chicago","man","white","Europe","1930"
"Frank O. Gehry","Art Institute of Chicago","man","white","North America","1930"
"Terry A. Gentille","Art Institute of Chicago","man",NA,"North America","1940"
"Robert John Gibbings","Art Institute of Chicago","man","white","Europe","1890"
"Friedrich Gilly","Art Institute of Chicago","man","white","Europe","1770"
"Pedro Girard","Art Institute of Chicago","man",NA,"Europe",NA
"Belle Silveira Gorski","Art Institute of Chicago",NA,"white","North America","1880"
"John Gossage","Art Institute of Chicago","man","white","North America","1950"
"David Graham","Art Institute of Chicago","man","white",NA,NA
"Gustave Le Gray","Art Institute of Chicago","man","white","Europe","1820"
"Mimi Grooms","Art Institute of Chicago","woman","white","North America","1940"
"Walter Gropius","Art Institute of Chicago","man","white","Europe","1880"
"Chaim Gross","Art Institute of Chicago","man","white","Europe","1900"
"JolA!n Gross-Bettelheim","Art Institute of Chicago","woman","white","Europe","1900"
"Nancy Grossman","Art Institute of Chicago","woman","white","North America","1940"
"Leopold Grozelier","Art Institute of Chicago","man","white",NA,"1830"
"Charlotte Guerin","Art Institute of Chicago",NA,"white",NA,"1760"
"Ernst Haas","Art Institute of Chicago","man","white","Europe","1920"
"Tang Haiwen","Art Institute of Chicago","man","asian","Asia and the Pacific","1930"
"Theodore Halkin","Art Institute of Chicago","man","white","North America","1920"
"Sylvia Birch Halperin","Art Institute of Chicago","woman","white","North America","1930"
"Thomas Handforth","Art Institute of Chicago","man","white","North America","1900"
"David Hanson","Art Institute of Chicago","man","white","North America","1950"
"Keiko Hara","Art Institute of Chicago","woman","asian","Asia and the Pacific","1940"
"Naohisa Hara","Art Institute of Chicago","man","asian","Asia and the Pacific","1950"
"William Kerridge Haselden","Art Institute of Chicago","man","white","Europe","1870"
"Leonard Havens","Art Institute of Chicago","man",NA,"North America","1910"
"Edwin Hayes","Art Institute of Chicago","man",NA,NA,"1820"
"Rebecca C. Hayward","Art Institute of Chicago","woman",NA,NA,NA
"Robert Healy","Art Institute of Chicago",NA,"white","Europe",NA
"Isidore-Stanislas Helman","Art Institute of Chicago",NA,"white","Europe","1740"
"George Herriman","Art Institute of Chicago","man","white","North America","1880"
"Louis Hersent","Art Institute of Chicago","man","white","Europe","1780"
"Honma Hideaki","Art Institute of Chicago","man","asian","Asia and the Pacific","1960"
"Joseph Highmore","Art Institute of Chicago","man","white","Europe","1690"
"Anna Wyers Hill","Art Institute of Chicago","woman","white","North America",NA
"Vernon Hill","Art Institute of Chicago","man","white","Europe","1890"
"Marandy Merrill Hobbs","Art Institute of Chicago","woman","white","North America","1790"
"Adolf Hohenstein","Art Institute of Chicago","man","white","Europe","1850"
"Kenneth Holmes","Art Institute of Chicago","man","white",NA,NA
"Charles Sydney Hopkinson","Art Institute of Chicago","man","white","North America","1870"
"Charles Howard","Art Institute of Chicago","man","white","North America","1900"
"Samuel Howett","Art Institute of Chicago","man","white","Europe","1760"
"Georges Hugnet","Art Institute of Chicago","man","white","Europe","1910"
"Bryan Hunt","Art Institute of Chicago","man","white","North America","1950"
"Arthur F. Hussander","Art Institute of Chicago","man","white",NA,"1860"
"Helen Hyde","Art Institute of Chicago","woman","white","North America","1870"
"Master I.B.","Art Institute of Chicago","man",NA,NA,NA
"Kent Forrest Ipsen","Art Institute of Chicago","man","white","North America","1930"
"Doug Ischar","Art Institute of Chicago","man","white","North America","1950"
"E. Jacobs","Art Institute of Chicago","man","white","North America","1810"
"Antoine Jacquard","Art Institute of Chicago",NA,NA,NA,NA
"Pierre Jahan","Art Institute of Chicago","man","white","Europe","1910"
"Bill Jensen","Art Institute of Chicago","man","white","North America","1940"
"Michael Johnson","Art Institute of Chicago","man",NA,NA,NA
"John Jones","Art Institute of Chicago","man",NA,"North America",NA
"FranA?ois Joullain","Art Institute of Chicago","man","white","Europe",NA
"Shen Kai","Art Institute of Chicago",NA,"asian","Asia and the Pacific",NA
"Simpson Kalisher","Art Institute of Chicago","man",NA,"North America","1930"
"Akira Kanayama","Art Institute of Chicago","man","asian","Asia and the Pacific","1920"
"Charles Frederick Kandler","Art Institute of Chicago","man","white","Europe",NA
"Barbara Kasten","Art Institute of Chicago","woman","white","North America","1940"
"Carl Kauba","Art Institute of Chicago","man","white","Europe","1860"
"Kurt Kemp","Art Institute of Chicago","man","white","North America","1960"
"Margarida Kendall","Art Institute of Chicago",NA,"white","Europe","1960"
"Shimozawa KihachirA?","Art Institute of Chicago","man","asian","Asia and the Pacific","1900"
"Troy Kinney","Art Institute of Chicago","man",NA,"North America","1870"
"Archibald Knox","Art Institute of Chicago","man","white","Europe","1860"
"Renard Koehnemann","Art Institute of Chicago","man",NA,"North America",NA
"Michiko Kon","Art Institute of Chicago",NA,"asian","Asia and the Pacific","1960"
"Bob Kraus","Art Institute of Chicago","man","white","North America","1920"
"Warren Krupsaw","Art Institute of Chicago","man",NA,"North America",NA
"Valentina Nikiforovna Kulagina","Art Institute of Chicago",NA,"white","Europe","1900"
"Johann Fredrich LA?ck","Art Institute of Chicago","man","white","Europe",NA
"Henri Leopold LACvy","Art Institute of Chicago","man","white","Europe","1840"
"Lagneau","Art Institute of Chicago","man","white","Europe",NA
"Samuel Lane","Art Institute of Chicago","man","white","Europe","1780"
"Lisa Larsen","Art Institute of Chicago","woman","white","Europe",NA
"Lester Lashley","Art Institute of Chicago",NA,NA,NA,NA
"Juan Laurent","Art Institute of Chicago","man","white","Europe","1820"
"Claude Nicolas Ledoux","Art Institute of Chicago","man","white","Europe","1740"
"Alfred Leete","Art Institute of Chicago","man","white","Europe","1880"
"Louis FranA?ois Lejeune","Art Institute of Chicago","man","white","Europe","1780"
"Asa Lenore","Art Institute of Chicago",NA,NA,"North America",NA
"Nathan Lerner","Art Institute of Chicago","man","white","North America","1910"
"Jack Levine","Art Institute of Chicago","man","white","North America","1920"
"Les Levine","Art Institute of Chicago","man","white","Europe","1940"
"Arthur Hershel Lidov","Art Institute of Chicago","man","white","North America","1920"
"David Ligare","Art Institute of Chicago","man","white","North America","1940"
"Andrea Locatelli","Art Institute of Chicago","man","white","Europe","1700"
"David Lucas","Art Institute of Chicago","man","white","Europe","1800"
"Paul Ludick","Art Institute of Chicago","man",NA,"North America","1960"
"Emile van Marcke de Lummen","Art Institute of Chicago","man","white","Europe","1830"
"Alexandre Lunois","Art Institute of Chicago","man","white","Europe","1860"
"George Platt Lynes","Art Institute of Chicago","man","white","North America","1910"
"Peter MA?ller-Munk","Art Institute of Chicago","man","white","Europe","1900"
"Notley Warren Maddox","Art Institute of Chicago","man","white","North America","1940"
"Erik Magnussen","Art Institute of Chicago","man","white","Europe","1940"
"Johann August Eduard Mandel","Art Institute of Chicago","man","white","Europe","1810"
"Alfred Manessier","Art Institute of Chicago","man","white","Europe","1910"
"Agnes Martin","Art Institute of Chicago","woman","white","North America","1910"
"Charles Marville","Art Institute of Chicago","man","white","Europe","1810"
"Lora Marx","Art Institute of Chicago",NA,"white","North America","1900"
"Agostino Masucci","Art Institute of Chicago","man","white","Europe","1690"
"Karl Mattern","Art Institute of Chicago","man","white",NA,"1890"
"Rita McBride","Art Institute of Chicago","woman","white","North America","1960"
"McCoy","Art Institute of Chicago",NA,NA,NA,NA
"Minnie McLeish","Art Institute of Chicago","woman","white","Europe","1880"
"Hans Meid","Art Institute of Chicago","man","white","Europe","1880"
"Wendy Meng","Art Institute of Chicago","woman",NA,"North America","1940"
"Charles Meryon","Art Institute of Chicago","man","white","Europe","1820"
"Lucia Moholy","Art Institute of Chicago",NA,"white","Europe","1890"
"Georges Montorgueil","Art Institute of Chicago","man","white","Europe","1860"
"John David Mooney","Art Institute of Chicago","man","white","North America",NA
"Raymond Moore","Art Institute of Chicago","man","white","Europe","1920"
"Gustave Moreau","Art Institute of Chicago","man","white","Europe","1830"
"Franklin Townsend Morgan","Art Institute of Chicago","man","white","North America","1880"
"Hilda Morris","Art Institute of Chicago","woman","white","North America","1910"
"William Morris","Art Institute of Chicago","man","white","Europe","1830"
"Koloman (Kolo) Moser","Art Institute of Chicago","man","white","Europe","1870"
"Robert Muir","Art Institute of Chicago","man","white","Europe",NA
"MihA!ly MunkA!csy","Art Institute of Chicago","man","white","Europe","1840"
"William D. Murphy","Art Institute of Chicago",NA,NA,NA,NA
"Ming Murray","Art Institute of Chicago",NA,NA,NA,NA
"Celestin Nanteuil","Art Institute of Chicago","man","white","Europe","1810"
"Tony Naponic","Art Institute of Chicago","man","white","North America","1950"
"Dennis Nechvatal","Art Institute of Chicago","man","white","North America","1950"
"Rolf Nesch","Art Institute of Chicago","man","white","Europe","1890"
"Ernesto Neto","Art Institute of Chicago","man","hispanic","Latin America and the Caribbean","1960"
"Emil Nolde","Art Institute of Chicago","man","white","Europe","1870"
"Jan J. Norbeck","Art Institute of Chicago",NA,"white","North America","1950"
"Heidi Norton","Art Institute of Chicago","woman","white","North America","1980"
"Avanzino Nucci","Art Institute of Chicago","man","white","Europe","1550"
"Isadore Ocampo","Art Institute of Chicago","man",NA,NA,"1910"
"Tetsu Okuhara","Art Institute of Chicago","man",NA,"North America","1940"
"Joseph Maria Olbrich","Art Institute of Chicago","man","white","Europe","1870"
"Toby Old","Art Institute of Chicago","man","white","North America","1940"
"Jacob Cornelisz. van Oostsanen","Art Institute of Chicago","man","white","Europe","1470"
"Emil Orlik","Art Institute of Chicago","man","white","Europe","1870"
"Charles Paine","Art Institute of Chicago","man","white","Europe","1900"
"Caylus Painter","Art Institute of Chicago",NA,NA,"Europe",NA
"Bertha HonorAC Palmer","Art Institute of Chicago","woman","white","North America","1850"
"Peter Paone","Art Institute of Chicago","man","white","North America","1940"
"Jean Michel Papillon","Art Institute of Chicago","man","white","Europe","1700"
"Geronima Cagnaccia Parasole","Art Institute of Chicago",NA,"white","Europe","1570"
"Parmigianino","Art Institute of Chicago","man","white","Europe","1500"
"Alice Kagawa Parrott","Art Institute of Chicago","woman",NA,"North America","1930"
"Patas","Art Institute of Chicago","man","white","Europe","1740"
"John Dean Paul","Art Institute of Chicago","man","white","Europe","1780"
"JosAC M. PavA3n","Art Institute of Chicago",NA,NA,NA,NA
"Philip Pearlstein","Art Institute of Chicago","man","white","North America","1920"
"Nathan W. Pease","Art Institute of Chicago","man",NA,"North America","1840"
"Max Pechstein","Art Institute of Chicago","man","white","Europe","1880"
"Jan Peeters","Art Institute of Chicago","man","white","Europe","1620"
"Edward Penfield","Art Institute of Chicago","man","white","North America","1870"
"Gilles Peress","Art Institute of Chicago","man","white","Europe","1950"
"Marion Perkins","Art Institute of Chicago","man",NA,"North America","1910"
"Bernard Picart","Art Institute of Chicago","man","white","Europe","1670"
"Antonio TA pies","Art Institute of Chicago","man","white","Europe","1920"
"EdmAC Jean Pigal","Art Institute of Chicago","man","white","Europe",NA
"Isidore Alexandre Augustin Pils","Art Institute of Chicago",NA,"white","Europe","1810"
"Charles Adams Platt","Art Institute of Chicago","man","white","North America","1860"
"David Plowden","Art Institute of Chicago","man","white","North America","1930"
"Guglielmo della Porta","Art Institute of Chicago","man","white","Europe",NA
"Erna E. Postel","Art Institute of Chicago","woman",NA,"North America",NA
"Richard Pousette-Dart","Art Institute of Chicago","man","white","North America","1920"
"Gordon Powell","Art Institute of Chicago","man","white","North America","1950"
"Jean-Jacques Pradier","Art Institute of Chicago","man","white","Europe","1790"
"Charles Edward Crespy Le Prince","Art Institute of Chicago","man","white","Europe","1780"
"J. John Priola","Art Institute of Chicago","man","white","North America","1960"
"Purviance","Art Institute of Chicago",NA,NA,NA,NA
"William R. Pywell","Art Institute of Chicago","man","white","North America","1840"
"Simon Francis Ravenet","Art Institute of Chicago","man","white","Europe","1710"
"Severo da Ravenna","Art Institute of Chicago","man","white","Europe",NA
"Johann Reiner","Art Institute of Chicago","man","white","Europe",NA
"Charles Stanley Reinhart","Art Institute of Chicago","man",NA,"North America","1840"
"Johann Christian Reinhart","Art Institute of Chicago","man","white","Europe","1760"
"Ray Reshoft","Art Institute of Chicago","man","white","North America","1930"
"Erich Retzlaff","Art Institute of Chicago","man","white","Europe","1900"
"Gerhardt Wilhelm von Reutern","Art Institute of Chicago","man","white","Europe","1790"
"Erhard Reuwich","Art Institute of Chicago","man","white","Europe",NA
"Barbara Revelle","Art Institute of Chicago","woman","white","North America","1950"
"Augustin ThACodule Ribot","Art Institute of Chicago","man","white","Europe","1820"
"George Richmond","Art Institute of Chicago","man","white","Europe","1810"
"Jeanne Rij-Rousseau","Art Institute of Chicago",NA,"white","Europe","1870"
"James Robertson","Art Institute of Chicago","man",NA,NA,NA
"Auguste Rodin","Art Institute of Chicago","man","white","Europe","1840"
"Cristoforo Roncalli","Art Institute of Chicago","man","white","Europe","1550"
"Alicia Rosauer","Art Institute of Chicago","woman",NA,"North America","1980"
"John Rote","Art Institute of Chicago","man",NA,NA,NA
"Albert Daniel Rutherston","Art Institute of Chicago","man","white","Europe","1880"
"Barbara Sandler","Art Institute of Chicago","woman","white","North America","1940"
"Lyddell Sawyer","Art Institute of Chicago","man","white","Europe","1860"
"Arthur Sawyers","Art Institute of Chicago","man",NA,"North America","1940"
"Carlo Scarpa","Art Institute of Chicago","man","white","Europe","1910"
"Reni Schaschi","Art Institute of Chicago",NA,"white","Europe","1900"
"Diane Schmidt","Art Institute of Chicago","woman","white","North America",NA
"Martin Schongauer","Art Institute of Chicago","man","white","Europe","1440"
"Lester O. Schwartz","Art Institute of Chicago","man",NA,"North America",NA
"Joan Semmel","Art Institute of Chicago","woman",NA,"North America","1930"
"Laura Shechter","Art Institute of Chicago","woman","white","North America","1940"
"Ryuryukyo Shinsai","Art Institute of Chicago","man","asian","Asia and the Pacific",NA
"Dasha Shishkin","Art Institute of Chicago","woman","white","Europe","1980"
"Li Shizhuo","Art Institute of Chicago","man","asian","Asia and the Pacific","1690"
"Nishizawa Shizuo","Art Institute of Chicago","man","asian","Asia and the Pacific","1910"
"Yinka Shonibare","Art Institute of Chicago","man","black","Europe","1960"
"Shunko","Art Institute of Chicago","man","asian","Asia and the Pacific","1740"
"Maria Elena Vieira da Silva","Art Institute of Chicago","woman","white","Europe","1910"
"Raghubir Singh","Art Institute of Chicago","man","asian","Asia and the Pacific","1940"
"Maja SjA?strA?m","Art Institute of Chicago",NA,NA,NA,NA
"Robert Smirke","Art Institute of Chicago","man","white","Europe","1780"
"Francis Hopkinson Smith","Art Institute of Chicago","man","white","North America","1840"
"Sherri Smith","Art Institute of Chicago","woman",NA,"North America",NA
"Dauptain et Soeur","Art Institute of Chicago",NA,NA,NA,NA
"Agathe Sorel","Art Institute of Chicago","woman","white","Europe","1940"
"Eugene Speicher","Art Institute of Chicago","man","white","North America","1880"
"Adriaen van der Spelt","Art Institute of Chicago","man","white","Europe","1630"
"Mirella Spinella","Art Institute of Chicago",NA,NA,NA,"1950"
"Edward Stasack","Art Institute of Chicago","man","white","North America","1930"
"Emma Stebbins","Art Institute of Chicago",NA,"white","North America","1820"
"Jan Steen","Art Institute of Chicago","man","white","Europe","1630"
"James Stewart","Art Institute of Chicago","man",NA,NA,NA
"Don Francisco Bayeu y SubA-as","Art Institute of Chicago","man","hispanic","Europe","1730"
"Henry Syverson","Art Institute of Chicago","man","white","North America","1920"
"Viatcheslav Tarnovetski","Art Institute of Chicago","man","white","Europe","1940"
"Bob Thall","Art Institute of Chicago","man","white","North America","1950"
"Jack R. Thornell","Art Institute of Chicago","man","white","North America","1940"
"Theodoor van Thulden","Art Institute of Chicago",NA,"white","Europe","1610"
"Giovanni Domenico Tiepolo","Art Institute of Chicago","man","white","Europe","1730"
"Walasse Ting","Art Institute of Chicago","man","asian","Asia and the Pacific","1930"
"Domenico Tintoretto","Art Institute of Chicago","man","white","Europe","1560"
"Santi di Tito","Art Institute of Chicago","man","white","Europe","1540"
"GACrard Titus-Carmel","Art Institute of Chicago","man","white",NA,"1940"
"Iraklii M. Toidze","Art Institute of Chicago","man","white","Europe","1900"
"Henri de Toulouse-Lautrec","Art Institute of Chicago","man","white","Europe","1860"
"Stephen Tourlentes","Art Institute of Chicago","man","white",NA,NA
"Andree Tracey","Art Institute of Chicago","woman","white","North America","1950"
"Adrian Troy","Art Institute of Chicago","man","white","Europe","1900"
"Jessie Franklin Turner","Art Institute of Chicago",NA,NA,"North America","1880"
"Carlo Urbino","Art Institute of Chicago","man","white","Europe","1520"
"Cesare Vecellio","Art Institute of Chicago","man","white","Europe","1530"
"Diego Rodriguez de VelA!zquez","Art Institute of Chicago","man","hispanic","Europe","1600"
"Collin de Vermont","Art Institute of Chicago","man","white","Europe","1690"
"Antonio Maria Viani","Art Institute of Chicago",NA,"white","Europe","1540"
"Enea Vico","Art Institute of Chicago","man","white","Europe","1520"
"Claes Jansz. Visscher","Art Institute of Chicago","man","white","Europe","1590"
"Joseph Vogel","Art Institute of Chicago","man","white",NA,NA
"Katsuji Wakisaka","Art Institute of Chicago",NA,"asian","Asia and the Pacific","1940"
"Jean Antoine Watteau","Art Institute of Chicago","man","white","Europe","1680"
"June Wayne","Art Institute of Chicago","woman","white","North America","1920"
"Peter Joseph Weber","Art Institute of Chicago","man","white",NA,NA
"Eric Weeks","Art Institute of Chicago","man","white","North America","1960"
"Ryan Weideman","Art Institute of Chicago","man",NA,"North America","1940"
"Salomon Weininger","Art Institute of Chicago","man","white","Europe",NA
"Jack Welpott","Art Institute of Chicago","man","white","North America","1920"
"Telman of Wesel","Art Institute of Chicago","man",NA,"Europe",NA
"Pennerton West","Art Institute of Chicago",NA,"white","North America","1910"
"Rogier van der Weyden","Art Institute of Chicago","man","white","Europe","1400"
"Fuller White","Art Institute of Chicago","man","white","Europe",NA
"Raymond J. Wielgus","Art Institute of Chicago","man","white","North America","1910"
"Jan Wierix","Art Institute of Chicago","man","white","Europe","1550"
"Antoine Wiertz","Art Institute of Chicago","man","white","Europe","1810"
"Pierre Alexandre Wille","Art Institute of Chicago","man","white","Europe","1750"
"John Windsor","Art Institute of Chicago","man","white",NA,NA
"Bill Woolston","Art Institute of Chicago","man","white","North America","1940"
"Eliot Thomas Yorke","Art Institute of Chicago","man","white","Europe","1800"
"Tsukioka Yoshitoshi","Art Institute of Chicago","man","asian","Asia and the Pacific","1840"
"Guo You","Art Institute of Chicago","man","asian","Asia and the Pacific","1960"
"Ellsworth Young","Art Institute of Chicago",NA,"white","North America","1870"
"Zarina","Art Institute of Chicago","woman",NA,NA,"1940"
"Marie Antoinette Donaldson (Ijams)","Dallas Museum of Art","woman","white","North America",NA
"Berenice Abbott","Dallas Museum of Art","woman","white","North America","1900"
